Date,"Order #",Status,Customer,Product(s),"Items Sold",Coupon(s),"N. Revenue"
"2020-12-12 22:24:50",3892,custom-status,new,"1× مروكي ميني دبل سوبر 2 - 50-جرام, 1× هندي ميني دبل سوبر - 50-جرام",2,,1452.17
"2020-12-12 18:22:53",3890,custom-status,new,"1× مروكي ميني دقة فاخر - 100-جرام",1,,1060.87
"2020-12-12 15:07:41",3889,custom-status,new,"2× هندي ميني دبل سوبر - 100-جرام, 1× هندي دقة فاخر - 100-جرام, 1× دقه وقشور بورمي - 100-جرام",4,,4565.21
"2020-12-12 14:38:55",3884,pickup,returning,"1× لاوسي فاخر - ¼-تولة",1,,208.7
"2020-12-12 14:27:11",3882,pickup,new,"1× مالينو قديم سوبر - 50-جرام, 1× مروكي ميني دقة فاخر - 50-جرام, 1× هندي دقة فاخر - 50-جرام, 1× دقه وقشور بورمي - 50-جرام, 1× مالينو قديم دقة سوبر - 50-جرام",5,,2578.26
"2020-12-12 14:17:31",3881,custom-status,new,"1× براشين - ¼-تولة, 1× جنوب تايلند - ¼-تولة, 1× ترات - ¼-تولة, 1× ترات فاخر - ¼-تولة",4,,586.96
"2020-12-12 13:30:29",3870,pickup,returning,"1× مروكي ميني دقة فاخر - 100-جرام",1,,1060.87
"2020-12-12 12:54:33",3864,on-hold,returning,"1× مالينو قديم أقل من سوبر - 100-جرام",1,,813.04
"2020-12-12 12:50:56",3861,custom-status,new,"1× مروكي - ¼-تولة, 1× لاوسي فاخر - ¼-تولة, 1× مروكي ميني سوبر وأقل - 100-جرام",3,,834.79
"2020-12-12 12:49:38",3859,pickup,new,"1× براشين - ¼-تولة",1,,113.04
"2020-12-12 12:02:24",3854,on-hold,new,"1× براشين الخاص - ¼-تولة",1,,200
"2020-12-12 11:49:51",3851,custom-status,returning,"1× هندي آسامي - ¼-تولة, 1× فيتنامي - ¼-تولة, 1× لاوسي فاخر - ¼-تولة, 1× مروكي - ¼-تولة, 1× مروكي ميني دقة فاخر - 100-جرام, 1× مروكي حي - 50-جرام",6,,1943.48
"2020-12-12 06:46:47",3843,pickup,new,"1× براشين الخاص - ¼-تولة, 1× لاوسي فاخر - ¼-تولة",2,,408.7
"2020-12-12 06:11:13",3835,custom-status,new,"2× هندي آسامي - ¼-تولة, 2× كوياي - ¼-تولة, 2× براشين - ¼-تولة, 1× ترات - ¼-تولة, 2× مروكي - ¼-تولة, 1× هندي -H - ¼-تولة, 1× تجربة - 1-تولة, 1× مروكي حي - 100-جرام, 1× دقه وقشور بورمي - 100-جرام, 1× هندي سوبر وأقل - 50-جرام",14,,2563.04
"2020-12-11 23:37:25",3825,on-hold,returning,"1× مروكي حي - 100-جرام, 2× هندي دقة فاخر - 50-جرام",3,,1504.35
"2020-12-11 23:36:32",3820,custom-status,new,"2× مروكي حي - 100-جرام, 1× مروكي حي - 50-جرام, 2× مالينو قديم دبل - 50-جرام, 1× مالينو قديم سوبر مرتفع - 100-جرام, 1× هندي دقة فاخر - 100-جرام, 1× مالينو قديم دقة سوبر - 100-جرام, 1× هندي ميني دبل سوبر - 100-جرام",9,,9826.09
