Date,"Order #",Status,Customer,Product(s),"Items Sold",Coupon(s),"N. Revenue"
"2020-12-14 14:20:27",4284,custom-status,new,"2× ذواقة دهن براشين - ¼-تولة",2,,172.17
"2020-12-14 14:18:22",4281,custom-status,new,"1× براشين - ¼-تولة, 1× هندي آسامي - ¼-تولة",2,,230.43
"2020-12-14 14:15:19",4274,custom-status,new,"1× ذواقة دقة مروكي سوبر وأقل - 50-جرام",1,,260.87
"2020-12-14 14:14:39",4271,custom-status,new,"1× ذواقة دقة مروكي سوبر وأقل - 50-جرام, 2× ذواقة دهن ترات الحطب - ¼-تولة",3,,433.04
"2020-12-14 14:12:56",4268,custom-status,new,"1× ذواقة هندي سلا سوبر مرتفع - 50-جرام, 1× ذواقة قشر كلمنتان وسط - 50-جرام",2,,800
"2020-12-14 14:07:19",4245,custom-status,new,"1× ذواقة مروكي سوبر وأقل - 50-جرام, 1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة",3,,415.66
"2020-12-14 14:05:13",4238,custom-status,new,"2× هندي آسامي - ¼-تولة",2,,234.78
"2020-12-14 14:02:17",4226,custom-status,new,"1× دقة كلمنتان مالينو - 50-جرام, 1× مروكي قديم سوبر وأقل - 50-جرام, 1× دقه وقشور بورمي - 50-جرام",3,,743.47
"2020-12-14 13:58:59",4216,custom-status,new,"1× ذواقة دهن ترات الحطب - ¼-تولة, 1× جنوب تايلند - ¼-تولة, 1× ذواقة قشر كلمنتان صغير - 50-جرام",3,,512.18
"2020-12-14 13:58:23",4212,custom-status,new,"2× ذواقة دهن براشين - ¼-تولة",2,,172.17
"2020-12-14 13:57:28",4207,custom-status,new,"2× ذواقة هندي سلا سوبر مرتفع - 50-جرام",2,,956.52
"2020-12-14 13:56:59",4204,custom-status,returning,"2× مروكي قديم مصبوغ ميني - 50-جرام, 2× ذواقة دقة مروكي سوبر وأقل - 50-جرام, 2× ذواقة قشر كلمنتان صغير - 50-جرام, 2× ذواقة قشر كلمنتان وسط - 50-جرام, 2× ذواقة مروكي فصفص سوبر - 50-جرام, 2× ذواقة مروكي سوبر وأقل - 50-جرام, 3× ذواقة دهن ترات الحطب - ¼-تولة, 3× ذواقة دهن براشين - ¼-تولة, 1× هندي آسامي - ¼-تولة, 1× مروكي - ¼-تولة",20,,4120.87
"2020-12-14 13:56:52",4201,custom-status,returning,"1× ذواقة مروكي فصفص سوبر - 50-جرام",1,,369.57
"2020-12-14 13:56:32",4200,custom-status,new,"2× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة, 1× براشين - ¼-تولة",4,,371.3
"2020-12-14 13:55:46",4196,custom-status,new,"2× ذواقة مروكي فصفص سوبر - 50-جرام, 1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة, 1× براشين - ¼-تولة",5,,1024.35
"2020-12-14 13:55:30",4193,custom-status,new,"1× ذواقة قشر كلمنتان وسط - 50-جرام",1,,321.74
"2020-12-14 13:54:24",4188,custom-status,new,"2× ذواقة دهن براشين - ¼-تولة, 2× ذواقة دهن ترات الحطب - ¼-تولة",4,,344.34
"2020-12-14 13:54:19",4186,custom-status,new,"2× مروكي - ¼-تولة",2,,278.26
"2020-12-14 13:54:12",4183,custom-status,returning,"3× ذواقة دهن ترات الحطب - ¼-تولة",3,,258.26
"2020-12-14 13:53:26",4177,custom-status,new,"1× ذواقة قشر كلمنتان وسط - 50-جرام, 1× ذواقة هندي سلا سوبر مرتفع - 50-جرام, 1× ذواقة مروكي فصفص سوبر - 50-جرام",3,,1169.57
"2020-12-14 13:52:52",4174,custom-status,returning,"1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة",2,,172.18
"2020-12-14 13:51:56",4169,custom-status,new,"1× ذواقة دهن ترات الحطب - ¼-تولة, 1× ذواقة دهن براشين - ¼-تولة",2,,172.18
"2020-12-14 13:48:52",4159,custom-status,returning,"9× ذواقة دهن براشين - ¼-تولة",9,,774.78
"2020-12-14 13:45:20",4141,custom-status,returning,"1× مروكي ميني دبل سوبر 2 - 50-جرام",1,,717.39
"2020-12-14 13:45:04",4139,custom-status,new,"1× مروكي - ¼-تولة, 1× ذواقة دهن براشين - ¼-تولة",2,,225.22
"2020-12-14 13:44:34",4136,custom-status,new,"1× ذواقة دهن ترات الحطب - ¼-تولة, 1× ذواقة قشر كلمنتان صغير - 50-جرام",2,,364.35
"2020-12-14 13:43:30",4133,custom-status,new,"1× ذواقة دقة مروكي سوبر وأقل - 50-جرام, 1× ذواقة دهن ترات الحطب - ¼-تولة",2,,346.96
"2020-12-14 13:29:45",4130,custom-status,new,"1× مروكي ميني دقة فاخر - 100-جرام, 1× مروكي قديم سوبر وأقل - 50-جرام",2,,1356.52
"2020-12-14 13:25:33",4128,custom-status,new,"1× ذواقة دقة مروكي سوبر وأقل - 50-جرام, 1× ذواقة مروكي فصفص سوبر - 50-جرام, 1× ذواقة مروكي سوبر وأقل - 50-جرام, 2× ذواقة دهن ترات الحطب - ¼-تولة, 2× ذواقة دهن براشين - ¼-تولة, 1× مروكي - ¼-تولة",8,,1357.39
"2020-12-14 13:19:42",4124,custom-status,new,"2× ذواقة هندي سلا سوبر مرتفع - 50-جرام",2,,956.52
"2020-12-14 13:18:30",4123,custom-status,new,"1× ذواقة قشر كلمنتان وسط - 50-جرام, 1× ذواقة دهن ترات الحطب - ¼-تولة, 1× ذواقة دهن براشين - ¼-تولة",3,,493.92
"2020-12-14 13:05:14",4114,custom-status,new,"2× ذواقة مروكي سوبر وأقل - 50-جرام, 1× ذواقة دهن ترات الحطب - ¼-تولة, 1× ذواقة دهن براشين - ¼-تولة",4,,659.14
"2020-12-14 12:58:54",4110,custom-status,new,"1× ذواقة قشر كلمنتان وسط - 50-جرام, 1× ذواقة مروكي سوبر وأقل - 50-جرام, 1× ذواقة دهن ترات الحطب - ¼-تولة",3,,651.31
