Date,"Order #",Status,Customer,Product(s),"Items Sold",Coupon(s),"N. Revenue"
"2020-12-15 11:43:14",5114,custom-status,new,"2× ذواقة دقة مروكي سوبر وأقل - 50-جرام",2,,521.74
"2020-12-15 11:34:33",5113,custom-status,new,"2× ذواقة قشر كلمنتان وسط - 50-جرام",2,,643.48
"2020-12-15 11:03:24",5109,custom-status,returning,"1× ذواقة مروكي فصفص سوبر - 50-جرام, 1× ذواقة قشر كلمنتان وسط - 50-جرام, 1× ذواقة دقة مروكي سوبر وأقل - 50-جرام, 2× ذواقة قشر كلمنتان صغير - 50-جرام, 1× ذواقة هندي سلا سوبر مرتفع - 50-جرام, 1× مروكي ميني دقة فاخر - 100-جرام",7,,3047.83
"2020-12-15 11:01:57",5106,custom-status,returning,"1× ذواقة قشر كلمنتان وسط - 50-جرام, 1× مروكي حي - 50-جرام",2,,556.52
"2020-12-15 10:44:16",5100,custom-status,returning,"1× مروكي قديم سوبر وأقل - 100-جرام, 2× مروكي ميني دقة فاخر - 100-جرام, 2× ذواقة هندي سلا سوبر مرتفع - 50-جرام",5,,3669.56
"2020-12-15 10:42:06",5098,custom-status,new,"2× ذواقة قشر كلمنتان وسط - 50-جرام, 1× دقه وقشور بورمي - 50-جرام",3,,939.13
"2020-12-15 10:09:08",5091,custom-status,new,"1× ذواقة قشر كلمنتان وسط - 50-جرام",1,,321.74
"2020-12-15 09:27:52",5085,custom-status,returning,"2× ذواقة دهن براشين - ¼-تولة, 1× مروكي - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة",4,,397.39
"2020-12-15 08:05:51",5069,custom-status,new,"2× ذواقة دهن براشين - ¼-تولة, 2× ترات - ¼-تولة",4,,424.34
"2020-12-15 06:32:18",5047,custom-status,new,"4× ذواقة دهن براشين - ¼-تولة, 2× ذواقة دهن ترات الحطب - ¼-تولة",6,,516.52
"2020-12-15 05:37:46",5041,custom-status,returning,"2× ذواقة دهن ترات الحطب - ¼-تولة, 1× ذواقة دهن براشين - ¼-تولة, 1× لاوسي فاخر - ¼-تولة",4,,466.96
"2020-12-15 01:21:34",5026,custom-status,new,"1× ذواقة دهن ترات الحطب - ¼-تولة, 1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة قشر كلمنتان وسط - 50-جرام",3,,493.92
"2020-12-15 01:21:31",5025,custom-status,new,"2× ذواقة هندي سلا سوبر مرتفع - 50-جرام, 2× ذواقة دهن براشين - ¼-تولة",4,,1128.69
"2020-12-15 00:57:00",5020,custom-status,new,"1× ذواقة قشر كلمنتان وسط - 50-جرام, 2× ذواقة دهن براشين - ¼-تولة, 1× ذواقة مروكي سوبر وأقل - 50-جرام",4,,737.39
"2020-12-15 00:47:09",5014,custom-status,new,"1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة, 1× مروكي قديم سوبر مرتفع - 50-جرام",3,,689.57
"2020-12-15 00:37:50",5010,custom-status,returning,"2× ذواقة دهن ترات الحطب - ¼-تولة",2,,172.17
"2020-12-15 00:37:20",5008,custom-status,new,"2× ذواقة دهن براشين - ¼-تولة, 2× ذواقة دهن ترات الحطب - ¼-تولة, 2× هندي آسامي - ¼-تولة",6,,579.12
"2020-12-15 00:18:15",4994,custom-status,new,"1× هندي آسامي - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة, 1× كوياي - ¼-تولة, 1× ترات - ¼-تولة",4,,451.31
"2020-12-15 00:12:40",4990,custom-status,new,"1× ذواقة دهن براشين - ¼-تولة",1,,86.09
"2020-12-14 23:40:27",4977,custom-status,new,"1× كوياي - ¼-تولة",1,,121.74
"2020-12-14 23:40:24",4976,custom-status,new,"1× مروكي ميني دبل سوبر 2 - 100-جرام",1,,1434.78
"2020-12-14 23:40:19",4973,custom-status,new,"1× لاوسي فاخر - ¼-تولة, 1× هندي آسامي - ¼-تولة, 1× ذواقة هندي سلا سوبر مرتفع - 50-جرام",3,,804.35
"2020-12-14 23:37:14",4968,custom-status,new,"1× مروكي - ¼-تولة",1,,139.13
"2020-12-14 23:36:38",4967,custom-status,new,"1× ذواقة دهن براشين - ¼-تولة",1,,86.09
"2020-12-14 23:32:48",4959,custom-status,new,"2× ذواقة دهن ترات الحطب - ¼-تولة, 2× براشين - ¼-تولة",4,,398.26
"2020-12-14 23:31:32",4957,custom-status,new,"1× هندي آسامي - ¼-تولة, 1× كوياي - ¼-تولة, 1× هندي -H - ¼-تولة",3,,380.43
"2020-12-14 23:27:10",4953,custom-status,new,"1× ذواقة قشر كلمنتان صغير - 50-جرام, 1× ذواقة دهن براشين - ¼-تولة, 1× هندي آسامي - ¼-تولة",3,,481.74
"2020-12-14 23:24:32",4950,custom-status,new,"1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة",2,,172.18
"2020-12-14 23:16:26",4947,custom-status,new,"1× ذواقة دهن ترات الحطب - ¼-تولة",1,,86.09
"2020-12-14 23:12:59",4943,custom-status,new,"3× ذواقة دهن براشين - ¼-تولة, 3× ذواقة دهن ترات الحطب - ¼-تولة",6,,516.52
"2020-12-14 22:53:35",4929,custom-status,new,"1× ذواقة دهن ترات الحطب - ¼-تولة, 1× ذواقة مروكي سوبر وأقل - 50-جرام, 1× مروكي قديم سوبر مرتفع - 100-جرام, 1× مروكي قديم سوبر وأقل - 100-جرام",4,,1955.65
"2020-12-14 22:53:10",4927,custom-status,new,"2× ذواقة مروكي سوبر وأقل - 50-جرام",2,,486.96
"2020-12-14 22:40:12",4917,custom-status,new,"1× مروكي حي - 100-جرام, 8× مروكي - ¼-تولة, 1× ذواقة قشر كلمنتان صغير - 50-جرام, 2× مالينو قديم دبل - 100-جرام",12,,8034.78
"2020-12-14 22:34:45",4913,custom-status,returning,"1× ذواقة دهن ترات الحطب - ¼-تولة, 1× هندي -H - ¼-تولة, 1× ذواقة دهن براشين - ¼-تولة",3,,313.48
"2020-12-14 22:25:46",4901,custom-status,new,"2× ذواقة دهن براشين - ¼-تولة, 2× ذواقة دهن ترات الحطب - ¼-تولة, 2× براشين - ¼-تولة",6,,570.43
"2020-12-14 22:21:25",4897,custom-status,new,"1× مروكي قديم سوبر وأقل - 100-جرام, 1× ذواقة قشر كلمنتان وسط - 50-جرام, 1× ذواقة دهن ترات الحطب - ¼-تولة, 1× ذواقة دهن براشين - ¼-تولة",4,,1085.22
"2020-12-14 22:12:19",4887,custom-status,new,"2× ذواقة دهن براشين - ¼-تولة, 2× ذواقة دهن ترات الحطب - ¼-تولة, 2× براشين - ¼-تولة",6,,570.43
"2020-12-14 22:04:10",4883,custom-status,new,"1× ذواقة دقة مروكي سوبر وأقل - 50-جرام, 1× ذواقة دهن ترات الحطب - ¼-تولة",2,,346.96
"2020-12-14 21:50:09",4872,custom-status,new,"1× هندي آسامي - ¼-تولة",1,,117.39
"2020-12-14 21:41:46",4868,custom-status,new,"2× ذواقة دهن ترات الحطب - ¼-تولة, 1× ذواقة مروكي سوبر وأقل - 50-جرام, 1× مروكي - ¼-تولة",4,,554.78
"2020-12-14 21:40:19",4864,custom-status,new,"1× ذواقة مروكي فصفص سوبر - 50-جرام",1,,369.57
"2020-12-14 21:38:23",4862,custom-status,new,"1× هندي -H - ¼-تولة, 1× ذواقة دقة مروكي سوبر وأقل - 50-جرام, 1× ذواقة قشر كلمنتان صغير - 50-جرام, 1× ذواقة قشر كلمنتان وسط - 50-جرام, 1× ذواقة هندي سلا سوبر مرتفع - 50-جرام, 1× ذواقة مروكي فصفص سوبر - 50-جرام, 1× ذواقة مروكي سوبر وأقل - 50-جرام, 1× دقة كلمنتان مالينو - 50-جرام, 1× مروكي ميني دقة فاخر - 50-جرام, 1× مروكي قديم مصبوغ ميني - 50-جرام, 1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة, 1× كوياي - ¼-تولة, 1× مروكي حي - 50-جرام, 1× مالينو قديم أقل من سوبر - 50-جرام, 1× دقه وقشور بورمي - 50-جرام",16,,4206.95
"2020-12-14 21:32:08",4855,custom-status,new,"1× براشين الخاص - ¼-تولة",1,,200
"2020-12-14 21:27:13",4846,custom-status,new,"1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة",2,,172.18
"2020-12-14 21:26:05",4843,custom-status,new,"1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة, 1× كوياي - ¼-تولة, 1× ترات - ¼-تولة, 1× ذواقة مروكي فصفص سوبر - 50-جرام",5,,789.58
"2020-12-14 21:16:34",4834,custom-status,new,"1× ذواقة هندي سلا سوبر مرتفع - 50-جرام",1,,478.26
"2020-12-14 21:07:45",4830,custom-status,new,"2× هندي آسامي - ¼-تولة, 2× كوياي - ¼-تولة",4,,478.26
"2020-12-14 20:46:36",4821,custom-status,new,"2× ذواقة دهن براشين - ¼-تولة, 2× ذواقة دهن ترات الحطب - ¼-تولة",4,,344.34
"2020-12-14 20:22:35",4801,custom-status,returning,"1× ذواقة دهن براشين - ¼-تولة",1,,86.09
"2020-12-14 20:22:34",4800,custom-status,new,"3× براشين - ¼-تولة",3,,339.13
"2020-12-14 20:17:41",4788,custom-status,new,"1× مروكي مباخر سوبر وأقل - 500-جرام, 1× مروكي ميني سوبر نظيف - 500-جرام",2,,7782.61
"2020-12-14 20:17:14",4784,custom-status,new,"1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة",2,,172.18
"2020-12-14 20:16:56",4782,custom-status,new,"1× ذواقة هندي سلا سوبر مرتفع - 50-جرام, 1× ذواقة قشر كلمنتان وسط - 50-جرام, 1× كوياي - ¼-تولة, 1× جنوب تايلند - ¼-تولة, 1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة",6,,1241.75
"2020-12-14 20:06:59",4756,custom-status,new,"1× ذواقة قشر كلمنتان صغير - 50-جرام",1,,278.26
"2020-12-14 19:50:28",4712,custom-status,new,"1× ذواقة دقة مروكي سوبر وأقل - 50-جرام",1,,260.87
"2020-12-14 19:47:16",4709,custom-status,new,"1× مالينو قديم سوبر - 100-جرام, 1× مروكي - ¼-تولة",2,,1391.3
"2020-12-14 19:24:27",4700,custom-status,new,"1× ذواقة دهن ترات الحطب - ¼-تولة, 1× ذواقة دهن براشين - ¼-تولة, 1× براشين الخاص - ¼-تولة, 1× لاوسي فاخر - ¼-تولة, 1× ذواقة هندي سلا سوبر مرتفع - 50-جرام, 1× ذواقة قشر كلمنتان وسط - 50-جرام",6,,1380.88
"2020-12-14 19:24:00",4696,custom-status,new,"1× ذواقة قشر كلمنتان وسط - 50-جرام, 1× ذواقة دهن ترات الحطب - ¼-تولة, 1× ذواقة دهن براشين - ¼-تولة",3,,493.92
"2020-12-14 19:11:47",4686,custom-status,new,"1× كوياي - ¼-تولة, 1× مروكي - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة",3,,346.96
"2020-12-14 19:11:44",4685,custom-status,new,"1× ذواقة مروكي فصفص سوبر - 50-جرام, 1× ذواقة هندي سلا سوبر مرتفع - 50-جرام",2,,847.83
"2020-12-14 19:02:11",4678,custom-status,returning,"1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة",2,,172.18
"2020-12-14 18:52:54",4676,custom-status,new,"1× ذواقة قشر كلمنتان صغير - 50-جرام",1,,278.26
"2020-12-14 18:46:28",4671,custom-status,new,"1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة",2,,172.18
"2020-12-14 18:39:53",4668,custom-status,new,"2× ذواقة مروكي فصفص سوبر - 50-جرام",2,,739.13
"2020-12-14 18:28:49",4660,custom-status,new,"1× ذواقة دهن ترات الحطب - ¼-تولة, 1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دقة مروكي سوبر وأقل - 50-جرام",3,,433.05
"2020-12-14 18:19:23",4651,custom-status,new,"1× ذواقة قشر كلمنتان وسط - 50-جرام, 1× ذواقة مروكي فصفص سوبر - 50-جرام",2,,691.31
"2020-12-14 18:19:15",4649,custom-status,new,"1× ذواقة مروكي سوبر وأقل - 50-جرام, 1× ذواقة قشر كلمنتان صغير - 50-جرام",2,,521.74
"2020-12-14 18:14:33",4636,custom-status,new,"2× ذواقة مروكي سوبر وأقل - 50-جرام",2,,486.96
"2020-12-14 18:13:06",4635,custom-status,new,"2× ذواقة دقة مروكي سوبر وأقل - 50-جرام, 2× ذواقة قشر كلمنتان وسط - 50-جرام",4,,1165.22
"2020-12-14 18:09:04",4630,custom-status,new,"1× ذواقة دقة مروكي سوبر وأقل - 50-جرام, 2× ذواقة مروكي سوبر وأقل - 50-جرام",3,,747.83
"2020-12-14 18:06:22",4626,custom-status,new,"2× ذواقة مروكي سوبر وأقل - 50-جرام, 1× مروكي - ¼-تولة",3,,626.09
"2020-12-14 17:54:36",4617,custom-status,returning,"2× ذواقة مروكي فصفص سوبر - 50-جرام, 1× ذواقة هندي سلا سوبر مرتفع - 50-جرام, 2× ذواقة قشر كلمنتان وسط - 50-جرام",5,,1860.87
"2020-12-14 17:40:25",4607,custom-status,new,"4× ذواقة دهن ترات الحطب - ¼-تولة, 4× ذواقة دهن براشين - ¼-تولة, 1× لاوسي فاخر - ¼-تولة",9,,897.4
"2020-12-14 17:40:04",4606,custom-status,new,"1× ذواقة قشر كلمنتان وسط - 50-جرام",1,,321.74
"2020-12-14 17:37:55",4604,custom-status,new,"1× ذواقة دهن ترات الحطب - ¼-تولة, 1× ذواقة دهن براشين - ¼-تولة",2,,172.18
"2020-12-14 17:32:23",4596,custom-status,new,"1× ذواقة دقة مروكي سوبر وأقل - 50-جرام",1,,260.87
"2020-12-14 17:31:49",4593,custom-status,new,"1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة, 1× ترات فاخر - ¼-تولة, 1× ذواقة مروكي فصفص سوبر - 50-جرام",4,,741.75
"2020-12-14 17:27:45",4589,custom-status,new,"1× هندي آسامي - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة, 1× ذواقة دهن براشين - ¼-تولة, 1× كوياي - ¼-تولة",4,,411.31
"2020-12-14 17:15:09",4583,custom-status,new,"1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة, 1× ذواقة مروكي فصفص سوبر - 50-جرام",3,,541.75
"2020-12-14 17:06:43",4580,custom-status,new,"1× براشين - ¼-تولة, 2× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دقة مروكي سوبر وأقل - 50-جرام",4,,546.08
"2020-12-14 17:02:19",4575,custom-status,new,"1× ذواقة دقة مروكي سوبر وأقل - 50-جرام",1,,260.87
"2020-12-14 16:58:58",4571,custom-status,new,"1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة, 1× هندي -H - ¼-تولة, 1× لاوسي فاخر - ¼-تولة",4,,522.18
"2020-12-14 16:52:47",4566,custom-status,returning,"1× ذواقة قشر كلمنتان وسط - 50-جرام",1,,321.74
"2020-12-14 16:46:40",4558,custom-status,new,"1× ذواقة دقة مروكي سوبر وأقل - 50-جرام, 1× ذواقة قشر كلمنتان صغير - 50-جرام",2,,539.13
"2020-12-14 16:42:11",4554,custom-status,new,"3× ذواقة دهن ترات الحطب - ¼-تولة",3,,258.26
"2020-12-14 16:41:27",4552,custom-status,new,"1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة",2,,172.18
"2020-12-14 16:37:39",4550,custom-status,new,"1× ذواقة دقة مروكي سوبر وأقل - 50-جرام",1,,260.87
"2020-12-14 16:32:07",4543,custom-status,new,"1× ذواقة قشر كلمنتان وسط - 50-جرام",1,,321.74
"2020-12-14 16:27:24",4541,custom-status,new,"1× ذواقة قشر كلمنتان وسط - 50-جرام, 1× ذواقة قشر كلمنتان صغير - 50-جرام",2,,600
"2020-12-14 16:16:41",4528,custom-status,new,"2× ذواقة دقة مروكي سوبر وأقل - 50-جرام, 2× ذواقة مروكي سوبر وأقل - 50-جرام, 2× ذواقة مروكي فصفص سوبر - 50-جرام",6,,1747.83
"2020-12-14 16:15:20",4525,custom-status,new,"1× هندي -H - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة",2,,227.39
"2020-12-14 16:06:30",4507,custom-status,new,"2× ذواقة قشر كلمنتان وسط - 50-جرام, 2× ذواقة دهن ترات الحطب - ¼-تولة, 1× ذواقة قشر كلمنتان صغير - 50-جرام",5,,1093.91
"2020-12-14 16:05:09",4503,custom-status,new,"1× ذواقة هندي سلا سوبر مرتفع - 50-جرام",1,,478.26
"2020-12-14 15:58:52",4493,custom-status,new,"2× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة",3,,258.26
"2020-12-14 15:58:47",4492,custom-status,new,"2× ذواقة دهن ترات الحطب - ¼-تولة, 2× ذواقة دهن براشين - ¼-تولة, 2× ذواقة دقة مروكي سوبر وأقل - 50-جرام, 2× ذواقة مروكي سوبر وأقل - 50-جرام",8,,1353.04
"2020-12-14 15:55:56",4487,custom-status,new,"1× ذواقة دقة مروكي سوبر وأقل - 50-جرام",1,,260.87
"2020-12-14 15:55:07",4485,custom-status,new,"1× هندي -H - ¼-تولة",1,,141.3
"2020-12-14 15:43:51",4469,custom-status,new,"1× ذواقة مروكي سوبر وأقل - 50-جرام",1,,243.48
"2020-12-14 15:39:09",4458,custom-status,returning,"1× هندي آسامي - ¼-تولة, 1× مروكي - ¼-تولة",2,,256.52
"2020-12-14 15:31:19",4439,custom-status,returning,"1× ذواقة دقة مروكي سوبر وأقل - 50-جرام",1,,260.87
"2020-12-14 15:31:12",4437,custom-status,new,"2× ذواقة هندي سلا سوبر مرتفع - 50-جرام, 2× ذواقة دهن ترات الحطب - ¼-تولة",4,,1128.69
"2020-12-14 15:29:36",4434,custom-status,new,"2× براشين - ¼-تولة, 1× مروكي حي - 50-جرام, 1× مروكي قديم سوبر وأقل - 50-جرام",4,,756.52
"2020-12-14 15:26:24",4427,custom-status,returning,"1× ذواقة مروكي فصفص سوبر - 50-جرام, 1× ذواقة دقة مروكي سوبر وأقل - 50-جرام, 2× ذواقة دهن ترات الحطب - ¼-تولة, 2× ذواقة دهن براشين - ¼-تولة",6,,974.78
"2020-12-14 15:20:20",4421,custom-status,new,"2× ذواقة دهن براشين - ¼-تولة, 2× ذواقة دهن ترات الحطب - ¼-تولة, 1× ذواقة مروكي سوبر وأقل - 50-جرام",5,,587.82
"2020-12-14 15:17:49",4414,custom-status,new,"1× ذواقة قشر كلمنتان وسط - 50-جرام, 1× ذواقة هندي سلا سوبر مرتفع - 50-جرام, 1× ذواقة دهن ترات الحطب - ¼-تولة",3,,886.09
"2020-12-14 15:17:16",4412,custom-status,new,"1× ذواقة هندي سلا سوبر مرتفع - 50-جرام",1,,478.26
"2020-12-14 15:16:18",4410,custom-status,returning,"1× ذواقة هندي سلا سوبر مرتفع - 50-جرام",1,,478.26
"2020-12-14 15:12:12",4402,custom-status,new,"1× ذواقة قشر كلمنتان وسط - 50-جرام, 1× ذواقة مروكي فصفص سوبر - 50-جرام, 1× ذواقة دهن براشين - ¼-تولة, 1× كوياي - ¼-تولة",4,,899.14
"2020-12-14 15:07:49",4393,custom-status,new,"1× ذواقة دهن ترات الحطب - ¼-تولة, 1× ترات - ¼-تولة",2,,212.18
"2020-12-14 15:03:07",4386,custom-status,new,"1× ذواقة دقة مروكي سوبر وأقل - 50-جرام, 1× دقة كلمنتان مالينو - 50-جرام, 1× مروكي حي - 50-جرام",3,,647.82
"2020-12-14 15:02:06",4383,custom-status,new,"1× ذواقة دقة مروكي سوبر وأقل - 50-جرام",1,,260.87
"2020-12-14 14:52:34",4360,custom-status,new,"1× ذواقة دهن براشين - ¼-تولة, 1× دقة كلمنتان مالينو - 100-جرام",2,,390.44
"2020-12-14 14:47:08",4354,custom-status,new,"1× ذواقة مروكي سوبر وأقل - 50-جرام",1,,243.48
"2020-12-14 14:43:04",4344,custom-status,new,"1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة",2,,172.18
"2020-12-14 14:38:31",4338,custom-status,new,"2× ذواقة دهن ترات الحطب - ¼-تولة, 1× ذواقة دهن براشين - ¼-تولة, 4× ترات - ¼-تولة, 1× ترات فاخر - ¼-تولة",8,,962.61
"2020-12-14 14:35:04",4330,custom-status,new,"1× ذواقة هندي سلا سوبر مرتفع - 50-جرام, 1× كوياي - ¼-تولة",2,,600
"2020-12-14 14:29:56",4308,custom-status,new,"2× ذواقة دهن ترات الحطب - ¼-تولة, 1× ذواقة هندي سلا سوبر مرتفع - 50-جرام",3,,650.43
"2020-12-14 14:26:47",4301,custom-status,new,"2× ذواقة قشر كلمنتان وسط - 50-جرام, 2× ذواقة دهن ترات الحطب - ¼-تولة",4,,815.65
"2020-12-14 14:26:05",4299,custom-status,new,"1× براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة",2,,199.13
"2020-12-14 14:25:52",4297,custom-status,new,"1× ذواقة دهن ترات الحطب - ¼-تولة",1,,86.09
"2020-12-14 14:23:58",4292,custom-status,new,"1× دقة كلمنتان مالينو - 100-جرام, 1× لاوسي فاخر - ¼-تولة, 1× ذواقة قشر كلمنتان وسط - 50-جرام, 1× ذواقة دهن براشين - ¼-تولة, 1× ذواقة دهن ترات الحطب - ¼-تولة",5,,1006.97
"2020-12-14 14:22:32",4288,custom-status,returning,"1× ذواقة هندي سلا سوبر مرتفع - 50-جرام, 1× ذواقة قشر كلمنتان وسط - 50-جرام",2,,800
