Date,"Order #",Status,Customer,Product(s),"Items Sold",Coupon(s),"N. Revenue"
﻿Date,"Order #",Status,Customer,Product(s),"Items Sold",Coupon(s),"N. Revenue"
"2021-03-06 12:01:50",16666,on-hold,returning,"1× مروكي دبل وتربل - 50-جرام, 2× مروكي ميني دبل - 50-جرام",3,,3043.48
"2021-03-06 10:44:27",16664,custom-status,returning,"1× هندي قشور وسط سوبر وأقل - 50-جرام",1,,182.61
"2021-03-06 00:13:35",16662,custom-status,returning,"1× مالينو قديم سوبر مرتفع - 50-جرام",1,,617.39
"2021-03-05 22:47:52",16661,custom-status,returning,"1× مروكي سوبر نظيف - 50-جرام",1,,382.61
"2021-03-05 21:13:46",16659,custom-status,new,"2× هندي قشور وسط سوبر وأقل - 50-جرام",2,,365.22
"2021-03-05 20:04:53",16657,received,returning,"1× هندي آسامي - ¼-تولة, 1× كمبودي كوه كنج - ¼-تولة, 1× جنوب تايلند - ¼-تولة",3,,452.17
"2021-03-05 19:56:10",16656,custom-status,returning,"2× هندي قشور وسط سوبر وأقل - 50-جرام",2,,365.22
"2021-03-05 19:42:23",16655,custom-status,new,"1× ترات بالحطب - ¼-تولة, 1× كمبودي كوه كنج - ¼-تولة, 1× براشين - ¼-تولة, 1× براشين الخاص - ¼-تولة, 1× ترات فاخر - ¼-تولة",5,,791.3
"2021-03-05 19:29:38",16653,custom-status,new,"1× هندي قشور وسط سوبر وأقل - 50-جرام, 1× هندي آسامي - ¼-تولة",2,,313.04
"2021-03-05 18:40:22",16652,custom-status,new,"1× هندي تربل سوبر - 50-جرام, 1× لاوسي فاخر - ¼-تولة, 1× براشين الخاص - ¼-تولة, 1× مروكي دبل وتربل - 50-جرام",4,,2495.65
"2021-03-05 16:54:36",16637,custom-status,new,"2× هندي قشور وسط سوبر وأقل - 50-جرام",2,,365.22
"2021-03-05 14:23:00",16633,custom-status,returning,"1× هندي قشور وسط سوبر وأقل - 50-جرام",1,,182.61
"2021-03-05 13:53:46",16632,custom-status,new,"1× هندي قشور وسط سوبر وأقل - 50-جرام, 1× مالينو قديم سوبر مرتفع - 50-جرام",2,,800
"2021-03-05 13:50:57",16631,custom-status,returning,"1× براشين - ¼-تولة, 1× كمبودي كوه كنج - ¼-تولة",2,,286.96
"2021-03-05 13:46:25",16630,custom-status,returning,"2× مروكي ميني دبل - 50-جرام",2,,1982.61
"2021-03-05 13:35:18",16629,custom-status,new,"2× هندي قشور وسط سوبر وأقل - 50-جرام",2,,365.22
"2021-03-05 01:15:20",16622,custom-status,returning,"2× لاوسي فاخر - ¼-تولة",2,,434.78
"2021-03-05 01:13:01",16621,custom-status,new,"1× هندي قشور وسط سوبر وأقل - 50-جرام",1,,182.61
"2021-03-04 23:32:49",16619,custom-status,returning,"2× هندي قشور وسط سوبر وأقل - 50-جرام, 1× ترات بالحطب - ¼-تولة, 1× براشين - ¼-تولة, 1× كوياي - ¼-تولة",5,,756.52
"2021-03-04 23:24:10",16618,pickup,returning,"1× مالينو قديم سوبر مرتفع - 100-جرام",1,,1234.78
"2021-03-04 23:20:36",16617,on-hold,new,"1× براشين - ¼-تولة, 1× ترات بالحطب - ¼-تولة, 1× كوياي - ¼-تولة, 2× هندي قشور وسط سوبر وأقل - 50-جرام",5,,756.52
"2021-03-04 23:13:15",16615,pickup,new,"1× مالينو قديم دبل 2 - 50-جرام, 1× هندي تربل سوبر - 100-جرام",2,,2965.21
"2021-03-04 22:04:00",16612,custom-status,new,"2× هندي قشور وسط سوبر وأقل - 50-جرام, 1× هندي سلا سوبر مرتفع - 50-جرام",3,,826.09
"2021-03-04 21:28:38",16611,custom-status,returning,"3× مروكي ميني سوبر مرتفع - 100-جرام, 3× مروكي سوبر مرتفع - 100-جرام",6,,7643.48
"2021-03-04 21:04:55",16610,custom-status,new,"1× مروكي سوبر نظيف - 100-جرام, 1× مروكي ميني سوبر مرتفع - 50-جرام, 1× هندي سلا دبل سوبر - 50-جرام, 1× هندي ميني سوبر مرتفع - 50-جرام",4,,2665.22
"2021-03-04 20:12:37",16608,custom-status,new,"1× مروكي أقل من سوبر - 100-جرام",1,,469.57
"2021-03-04 20:07:24",16607,custom-status,new,"1× هندي ميني دبل سوبر - 50-جرام, 1× مروكي ميني سوبر مرتفع - 50-جرام",2,,1326.09
"2021-03-04 19:50:15",16604,received,returning,"1× هندي قشور وسط سوبر وأقل - 50-جرام",1,,182.61
"2021-03-04 19:40:44",16603,pickup,returning,"1× هندي قشور وسط سوبر وأقل - 50-جرام",1,,182.61
"2021-03-04 18:45:57",16602,custom-status,returning,"1× هندي دقة سوبر مرتفع - 50-جرام",1,,513.04
"2021-03-04 18:32:26",16601,custom-status,returning,"1× هندي قشور وسط سوبر وأقل - 50-جرام",1,,182.61
"2021-03-04 18:04:19",16600,pickup,returning,"1× مروكي دبل وتربل - 50-جرام",1,,1060.87
"2021-03-04 17:38:01",16599,custom-status,returning,"1× ذواقة قشر كلمنتان وسط - 50-جرام",1,,321.74
"2021-03-04 16:53:32",16598,custom-status,new,"1× هندي قشور وسط سوبر وأقل - 50-جرام",1,,182.61
"2021-03-04 16:17:38",16594,pickup,returning,"1× هندي سوبر - 50-جرام",1,,313.04
"2021-03-04 15:43:59",16586,on-hold,new,"1× ذواقة قشر كلمنتان صغير - 50-جرام",1,,278.26
"2021-03-04 15:38:50",16583,custom-status,new,"1× مروكي أقل من سوبر - 100-جرام",1,,313.04
"2021-03-04 14:57:11",16582,custom-status,returning,"2× ذواقة قشر كلمنتان وسط - 50-جرام",2,,643.48
"2021-03-04 14:51:58",16581,on-hold,returning,"2× ذواقة قشر كلمنتان وسط - 50-جرام",2,,643.48
"2021-03-04 14:16:57",16580,custom-status,returning,"1× مروكي سوبر نظيف - 50-جرام",1,,382.61
"2021-03-04 13:58:15",16579,pickup,returning,"2× جنوب تايلند - ¼-تولة, 1× فيتنامي - ¼-تولة",3,,504.34
"2021-03-04 13:14:22",16578,custom-status,new,"2× مروكي سوبر وأقل - 50-جرام",2,,504.35
"2021-03-04 12:34:11",16577,custom-status,returning,"1× ترات بالحطب - ¼-تولة, 1× براشين - ¼-تولة, 1× هندي آسامي - ¼-تولة",3,,382.6
"2021-03-04 11:17:08",16576,custom-status,new,"2× براشين - ¼-تولة, 1× جنوب تايلند - ¼-تولة",3,,400
"2021-03-04 10:06:02",16575,custom-status,returning,"1× مروكي ميني سوبر مرتفع - 50-جرام, 1× مروكي ميني سوبر - 50-جرام",2,,1073.92
"2021-03-04 09:36:41",16574,custom-status,new,"2× مالينو قديم سوبر مرتفع - 50-جرام",2,,1234.78
"2021-03-04 08:24:32",16573,on-hold,new,"1× مروكي ميني سوبر - 50-جرام",1,,426.09
